item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr,declaration_date,year_month,hs_clean,hs2,hs6,is_reexport,trade_type,local_amount_clean,invoice_amount_clean,sup_amount_clean,net_weight_clean,gross_weight_clean,partner_country_code,active_cr,hs_desc
2020-2801-8-10010-1,2020-2801-8-10010,2020,2801,King Fahd Causeway,IM,8,10010,93322,11/16/2020,8703221000,Passenger cars 1000-1500cc,CN,CN,CN,CN,BH,BH,NMB,9.0,8629.97,FOB,29203.82,0.96,77669.73,32.6,34.47,Released,8,1,2801,146,,,CR_HASH_002,CR_HASH_019,,2020-11-16,2020-11,870322100000,87,870322,False,Import,29203.82,77669.73,0.96,32.6,34.47,CN,CR_HASH_019,Passenger cars 1000-1500cc
2020-2801-7-10011-1,2020-2801-7-10011,2020,2801,King Fahd Causeway,,7,10011,76513,5/27/2020,8471300000,Portable laptop computers,IN,IN,BH,BH,JP,JP,NMB,167.0,736.72,CIF,46260.12,2.91,123032.24,1059.8,1214.93,Released,5,9,2801,870,,,CR_HASH_154,CR_HASH_039,,2020-05-27,2020-05,847130000000,84,847130,False,,46260.12,123032.24,2.91,1059.8,1214.93,,CR_HASH_039,Portable laptop computers
2020-2601-8-10012-1,2020-2601-8-10012,2020,2601,Dry Port - Hidd,IM,8,10012,76324,11/1/2020,2710192100,Gas oils for diesel engines,US,US,US,US,BH,BH,LTR,12971.48,0.54,CIF,2633.73,2.21,7004.6,10331.97,11418.14,Released,7,3,2601,366,,,CR_HASH_126,CR_HASH_018,,2020-11-01,2020-11,271019210000,27,271019,False,Import,2633.73,7004.6,2.21,10331.97,11418.14,US,CR_HASH_018,Gas oils for diesel engines
2020-2801-7-10013-1,2020-2801-7-10013,2020,2801,King Fahd Causeway,IM,7,10013,66961,10/17/2020,3923301000,Plastic bottles for packaging,IN,IN,IN,IN,BH,BH,NMB,170.0,0.33,CIF,21.09,3.81,56.1,1110.6,1254.88,Released,1,2,2801,637,,,CR_HASH_120,CR_HASH_038,,2020-10-17,2020-10,392330100000,39,392330,False,Import,21.09,56.1,3.81,1110.6,1254.88,IN,CR_HASH_038,Plastic bottles for packaging
2020-2701-8-10014-1,2020-2701-8-10014,2020,2701,Khalifa Bin Salman Port,IM,8,10014,25245,9/11/2020,3923301000,Plastic bottles for packaging,SA,SA,SA,SA,BH,BH,NMB,27.0,0.53,EXW,5.38,3.17,14.31,203.03,217.37,Released,8,9,2701,814,,,CR_HASH_240,CR_HASH_047,,2020-09-11,2020-09,392330100000,39,392330,False,Import,5.38,14.31,3.17,203.03,217.37,SA,CR_HASH_047,Plastic bottles for packaging
2020-2801-1-10015-1,2020-2801-1-10015,2020,2801,King Fahd Causeway,IM,1,10015,57036,12/6/2020,102211000,"Live cattle, pure-bred breeding",CN,CN,CN,CN,BH,BH,NMB,144.0,961.58,EXW,52063.79,4.1,138467.52,690.22,772.98,Released,5,5,2801,311,,,CR_HASH_147,CR_HASH_034,,2020-12-06,2020-12,102211000000,10,102211,False,Import,52063.79,138467.52,4.1,690.22,772.98,CN,CR_HASH_034,"Live cattle, pure-bred breeding"
2020-2501-9-10016-1,2020-2501-9-10016,2020,2501,Bahrain International Airport,IM,9,10016,76440,8/7/2020,9018390000,Medical syringes and needles,SA,SA,SA,SA,BH,BH,NMB,24.0,0.1,EXW,0.9,3.93,2.4,151.38,174.19,Released,3,8,2501,427,,,CR_HASH_182,CR_HASH_017,,2020-08-07,2020-08,901839000000,90,901839,False,Import,0.9,2.4,3.93,151.38,174.19,SA,CR_HASH_017,Medical syringes and needles
2020-2601-3-10017-1,2020-2601-3-10017,2020,2601,Dry Port - Hidd,IM,3,10017,80226,7/13/2020,8517120000,Cellular telephones,US,US,US,US,BH,BH,NMB,192.0,1129.74,FOB,81558.19,2.19,216910.08,892.31,1062.22,Released,6,9,2601,104,,,CR_HASH_037,CR_HASH_018,,2020-07-13,2020-07,851712000000,85,851712,False,Import,81558.19,216910.08,2.19,892.31,1062.22,US,CR_HASH_018,Cellular telephones
2020-2801-9-10018-1,2020-2801-9-10018,2020,2801,King Fahd Causeway,IM,9,10018,50888,9/19/2020,1006301000,Long-grain milled rice,AE,AE,AE,AE,BH,BH,KGM,4267.62,1.1,EXW,1765.09,1.83,4694.38,4267.62,4488.88,Held,9,5,2801,383,,,CR_HASH_030,CR_HASH_005,,2020-09-19,2020-09,100630100000,10,100630,False,Import,1765.09,4694.38,1.83,4267.62,4488.88,AE,CR_HASH_005,Long-grain milled rice
2020-2501-3-10019-1,2020-2501-3-10019,2020,2501,Bahrain International Airport,IM,3,10019,99918,6/10/2020,8703221000,Passenger cars 1000-1500cc,DE,DE,IN,IN,BH,BH,NMB,183.0,20625.88,CIF,1419225.55,3.43,3774536.04,1240.14,1321.94,Released,6,1,2501,711,,,CR_HASH_071,CR_HASH_033,,2020-06-10,2020-06,870322100000,87,870322,False,Import,1419225.55,3774536.04,3.43,1240.14,1321.94,DE,CR_HASH_033,Passenger cars 1000-1500cc
2020-2801-1-10020-1,2020-2801-1-10020,2020,2801,King Fahd Causeway,EX,1,10020,10492,11/24/2020,102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,CN,CN,NMB,48.0,1043.14,CIF,18826.59,0.73,50070.72,351.83,404.06,Held,6,9,2801,820,,,CR_HASH_227,,CR_HASH_002,2020-11-24,2020-11,102211000000,10,102211,True,Re-export,18826.59,50070.72,0.73,351.83,404.06,CN,CR_HASH_002,"Live cattle, pure-bred breeding"
2020-2501-3-10021-1,2020-2501-3-10021,2020,2501,Bahrain International Airport,EX,3,10021,13613,12/18/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,IN,IN,NMB,49.0,0.41,FOB,7.55,1.06,20.09,281.06,330.44,Released,7,5,2501,585,,,CR_HASH_015,,CR_HASH_022,2020-12-18,2020-12,901839000000,90,901839,True,Re-export,7.55,20.09,1.06,281.06,330.44,IN,CR_HASH_022,Medical syringes and needles
2020-2701-6-10022-1,2020-2701-6-10022,2020,2701,Khalifa Bin Salman Port,EX,6,10022,77447,9/29/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,CN,CN,NMB,170.0,250.89,FOB,16036.89,0.75,42651.3,430.22,497.54,Released,6,1,2701,138,,,CR_HASH_131,,CR_HASH_049,2020-09-29,2020-09,847130000000,84,847130,True,Re-export,16036.89,42651.3,0.75,430.22,497.54,CN,CR_HASH_049,Portable laptop computers
2020-2801-5-10023-1,2020-2801-5-10023,2020,2801,King Fahd Causeway,IM,5,10023,61516,3/21/2020,8504400090,Static converters,DE,DE,DE,DE,BH,BH,NMB,82.0,50.18,FOB,1547.15,4.76,4114.76,523.21,599.32,Released,5,3,2801,476,,,CR_HASH_044,CR_HASH_043,,2020-03-21,2020-03,850440009000,85,850440,False,Import,1547.15,4114.76,4.76,523.21,599.32,DE,CR_HASH_043,Static converters
2020-2701-7-10024-1,2020-2701-7-10024,2020,2701,Khalifa Bin Salman Port,IM,7,10024,95305,7/30/2020,102211000,"Live cattle, pure-bred breeding",AE,AE,AE,AE,BH,BH,NMB,130.0,2399.01,CIF,117263.61,1.87,311871.3,527.31,563.11,Released,4,8,2701,649,,,CR_HASH_243,CR_HASH_007,,2020-07-30,2020-07,102211000000,10,102211,False,Import,117263.61,311871.3,1.87,527.31,563.11,AE,CR_HASH_007,"Live cattle, pure-bred breeding"
2020-2701-9-10025-1,2020-2701-9-10025,2020,2701,Khalifa Bin Salman Port,IM,9,10025,23313,5/26/2020,1006301000,Long-grain milled rice,US,US,US,US,BH,BH,KGM,2103.04,0.64,CIF,506.08,3.08,1345.95,2103.04,2340.18,Released,6,6,2701,731,,,CR_HASH_119,CR_HASH_024,,2020-05-26,2020-05,100630100000,10,100630,False,Import,506.08,1345.95,3.08,2103.04,2340.18,US,CR_HASH_024,Long-grain milled rice
2020-2701-6-10026-1,2020-2701-6-10026,2020,2701,Khalifa Bin Salman Port,IM,6,10026,76302,7/19/2020,6109100000,Cotton t-shirts,US,US,US,US,BH,BH,NMB,123.0,12.24,FOB,566.08,4.64,1505.52,394.21,444.24,Held,8,5,2701,759,,,CR_HASH_079,CR_HASH_040,,2020-07-19,2020-07,610910000000,61,610910,False,Import,566.08,1505.52,4.64,394.21,444.24,US,CR_HASH_040,Cotton t-shirts
2020-2601-8-10027-1,2020-2601-8-10027,2020,2601,Dry Port - Hidd,IM,8,10027,60875,7/9/2020,102211000,"Live cattle, pure-bred breeding",CN,CN,CN,CN,BH,BH,NMB,63.0,2223.55,FOB,52671.45,1.28,140083.65,429.34,454.39,Released,3,1,2601,767,,,CR_HASH_020,CR_HASH_014,,2020-07-09,2020-07,102211000000,10,102211,False,Import,52671.45,140083.65,1.28,429.34,454.39,CN,CR_HASH_014,"Live cattle, pure-bred breeding"
2020-2501-4-10028-1,2020-2501-4-10028,2020,2501,Bahrain International Airport,IM,4,10028,99590,11/26/2020,9018390000,Medical syringes and needles,AE,AE,AE,AE,BH,BH,NMB,141.0,0.22,FOB,11.66,1.9,31.02,456.4,544.83,Released,7,7,2501,229,,,CR_HASH_214,CR_HASH_004,,2020-11-26,2020-11,901839000000,90,901839,False,Import,11.66,31.02,1.9,456.4,544.83,AE,CR_HASH_004,Medical syringes and needles
2020-2801-4-10029-1,2020-2801-4-10029,2020,2801,King Fahd Causeway,IM,4,10029,96220,9/15/2020,3923301000,Plastic bottles for packaging,AE,AE,AE,AE,BH,BH,NMB,128.0,0.11,FOB,5.29,4.28,14.08,223.27,262.44,Held,9,6,2801,227,,,CR_HASH_230,CR_HASH_049,,2020-09-15,2020-09,392330100000,39,392330,False,Import,5.29,14.08,4.28,223.27,262.44,AE,CR_HASH_049,Plastic bottles for packaging
2020-2601-8-10030-1,2020-2601-8-10030,2020,2601,Dry Port - Hidd,IM,8,10030,66887,7/3/2020,2710192100,Gas oils for diesel engines,US,US,US,US,BH,BH,LTR,2060.96,0.98,CIF,759.42,1.81,2019.74,1620.3,1921.78,Released,5,9,2601,627,,,CR_HASH_235,CR_HASH_003,,2020-07-03,2020-07,271019210000,27,271019,False,Import,759.42,2019.74,1.81,1620.3,1921.78,US,CR_HASH_003,Gas oils for diesel engines
2020-2601-1-10031-1,2020-2601-1-10031,2020,2601,Dry Port - Hidd,IM,1,10031,42994,9/21/2020,8471300000,Portable laptop computers,AE,AE,AE,AE,BH,BH,NMB,54.0,698.33,EXW,14178.89,2.02,37709.82,335.98,355.71,Released,9,8,2601,397,,,CR_HASH_061,CR_HASH_036,,2020-09-21,2020-09,847130000000,84,847130,False,Import,14178.89,37709.82,2.02,335.98,355.71,AE,CR_HASH_036,Portable laptop computers
2020-2701-7-10032-1,2020-2701-7-10032,2020,2701,Khalifa Bin Salman Port,EX,7,10032,86317,6/25/2020,6109100000,Cotton t-shirts,BH,BH,BH,BH,AE,AE,NMB,170.0,8.56,FOB,547.16,0.97,1455.2,1169.1,1287.28,Released,4,9,2701,924,,,CR_HASH_146,,CR_HASH_025,2020-06-25,2020-06,610910000000,61,610910,True,Re-export,547.16,1455.2,0.97,1169.1,1287.28,AE,CR_HASH_025,Cotton t-shirts
2020-2701-4-10033-1,2020-2701-4-10033,2020,2701,Khalifa Bin Salman Port,IM,4,10033,10658,8/18/2020,8517120000,Cellular telephones,JP,JP,JP,JP,BH,BH,NMB,2.0,310.76,FOB,233.69,3.66,621.52,5.61,6.39,Released,5,6,2701,741,,,CR_HASH_085,CR_HASH_028,,2020-08-18,2020-08,851712000000,85,851712,False,Import,233.69,621.52,3.66,5.61,6.39,JP,CR_HASH_028,Cellular telephones
2020-2801-6-10034-1,2020-2801-6-10034,2020,2801,King Fahd Causeway,EX,6,10034,16675,12/25/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,SA,SA,NMB,96.0,0.39,CIF,14.08,3.8,37.44,741.51,865.57,Held,4,6,2801,597,,,CR_HASH_115,,CR_HASH_043,2020-12-25,2020-12,901839000000,90,901839,True,Re-export,14.08,37.44,3.8,741.51,865.57,SA,CR_HASH_043,Medical syringes and needles
2020-2701-4-10035-1,2020-2701-4-10035,2020,2701,Khalifa Bin Salman Port,EX,4,10035,13685,12/17/2020,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,SA,SA,NMB,22.0,0.3,FOB,2.48,2.7,6.6,68.17,72.85,Released,8,9,2701,872,,,CR_HASH_246,,CR_HASH_015,2020-12-17,2020-12,392330100000,39,392330,True,Re-export,2.48,6.6,2.7,68.17,72.85,SA,CR_HASH_015,Plastic bottles for packaging
2020-2601-9-10036-1,2020-2601-9-10036,2020,2601,Dry Port - Hidd,IM,9,10036,43542,6/19/2020,102211000,"Live cattle, pure-bred breeding",AE,AE,US,US,BH,BH,NMB,82.0,2149.26,EXW,66265.98,0.99,176239.32,546.89,577.27,Released,9,7,2601,785,,,CR_HASH_231,CR_HASH_003,,2020-06-19,2020-06,102211000000,10,102211,False,Import,66265.98,176239.32,0.99,546.89,577.27,AE,CR_HASH_003,"Live cattle, pure-bred breeding"
2020-2701-7-10037-1,2020-2701-7-10037,2020,2701,Khalifa Bin Salman Port,EX,7,10037,49937,9/18/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,CN,CN,NMB,173.0,630.63,CIF,41021.22,2.82,109098.99,390.81,446.81,Released,7,5,2701,126,,,CR_HASH_059,,CR_HASH_043,2020-09-18,2020-09,847130000000,84,847130,True,Re-export,41021.22,109098.99,2.82,390.81,446.81,CN,CR_HASH_043,Portable laptop computers
2020-2601-7-10038-1,2020-2601-7-10038,2020,2601,Dry Port - Hidd,EX,7,10038,63128,10/5/2020,9018390000,Medical syringes and needles,BH,BH,BH,BH,US,US,NMB,122.0,0.16,FOB,7.34,1.74,19.52,841.81,921.65,Released,5,8,2601,878,,,CR_HASH_168,,CR_HASH_035,2020-10-05,2020-10,901839000000,90,901839,True,Re-export,7.34,19.52,1.74,841.81,921.65,US,CR_HASH_035,Medical syringes and needles
2020-2701-1-10039-1,2020-2701-1-10039,2020,2701,Khalifa Bin Salman Port,EX,1,10039,20740,3/9/2020,6109100000,Cotton t-shirts,BH,BH,BH,BH,DE,DE,NMB,69.0,11.33,FOB,293.95,4.99,781.77,187.87,208.76,Held,7,7,2701,635,,,CR_HASH_134,,CR_HASH_007,2020-03-09,2020-03,610910000000,61,610910,True,Re-export,293.95,781.77,4.99,187.87,208.76,DE,CR_HASH_007,Cotton t-shirts
2020-2601-5-10040-1,2020-2601-5-10040,2020,2601,Dry Port - Hidd,IM,5,10040,67107,1/23/2020,3923301000,Plastic bottles for packaging,CN,CN,CN,CN,BH,BH,NMB,44.0,0.19,EXW,3.14,2.39,8.36,27.83,31.11,Released,8,9,2601,965,,,CR_HASH_124,CR_HASH_048,,2020-01-23,2020-01,392330100000,39,392330,False,Import,3.14,8.36,2.39,27.83,31.11,CN,CR_HASH_048,Plastic bottles for packaging
2020-2701-5-10041-1,2020-2701-5-10041,2020,2701,Khalifa Bin Salman Port,IM,5,10041,68808,10/2/2020,3923301000,Plastic bottles for packaging,US,US,AE,AE,BH,BH,NMB,57.0,0.07,CIF,1.5,1.59,3.99,345.84,393.78,Released,3,3,2701,259,,,CR_HASH_132,CR_HASH_031,,2020-10-02,2020-10,392330100000,39,392330,False,Import,1.5,3.99,1.59,345.84,393.78,US,CR_HASH_031,Plastic bottles for packaging
2020-2601-8-10042-1,2020-2601-8-10042,2020,2601,Dry Port - Hidd,EX,8,10042,63011,2/26/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,IN,IN,NMB,57.0,514.97,EXW,11036.84,4.17,29353.29,215.91,242.13,Released,9,3,2601,808,,,CR_HASH_237,,CR_HASH_049,2020-02-26,2020-02,847130000000,84,847130,True,Re-export,11036.84,29353.29,4.17,215.91,242.13,IN,CR_HASH_049,Portable laptop computers
2020-2501-2-10043-1,2020-2501-2-10043,2020,2501,Bahrain International Airport,,2,10043,76531,6/21/2020,8703221000,Passenger cars 1000-1500cc,AE,AE,BH,BH,CN,CN,NMB,64.0,18058.44,CIF,434558.3,0.68,1155740.16,239.83,253.11,Released,3,6,2501,158,,,CR_HASH_234,CR_HASH_048,,2020-06-21,2020-06,870322100000,87,870322,False,,434558.3,1155740.16,0.68,239.83,253.11,,CR_HASH_048,Passenger cars 1000-1500cc
2020-2601-3-10044-1,2020-2601-3-10044,2020,2601,Dry Port - Hidd,IM,3,10044,37186,12/26/2020,8703221000,Passenger cars 1000-1500cc,US,US,US,US,BH,BH,NMB,158.0,6019.21,FOB,357589.23,2.37,951035.18,906.35,979.81,Released,2,1,2601,360,,,CR_HASH_078,CR_HASH_048,,2020-12-26,2020-12,870322100000,87,870322,False,Import,357589.23,951035.18,2.37,906.35,979.81,US,CR_HASH_048,Passenger cars 1000-1500cc
2020-2601-8-10045-1,2020-2601-8-10045,2020,2601,Dry Port - Hidd,IM,8,10045,30611,2/11/2020,8517120000,Cellular telephones,US,US,US,US,BH,BH,NMB,1.0,658.98,CIF,247.78,1.59,658.98,6.35,7.47,Pending,5,8,2601,714,,,CR_HASH_132,CR_HASH_013,,2020-02-11,2020-02,851712000000,85,851712,False,Import,247.78,658.98,1.59,6.35,7.47,US,CR_HASH_013,Cellular telephones
2020-2501-7-10046-1,2020-2501-7-10046,2020,2501,Bahrain International Airport,IM,7,10046,18083,5/2/2020,2710192100,Gas oils for diesel engines,SA,SA,SA,SA,BH,BH,LTR,18642.5,0.34,CIF,2383.26,1.35,6338.45,14158.51,15159.95,Held,1,2,2501,199,,,CR_HASH_006,CR_HASH_046,,2020-05-02,2020-05,271019210000,27,271019,False,Import,2383.26,6338.45,1.35,14158.51,15159.95,SA,CR_HASH_046,Gas oils for diesel engines
2020-2701-5-10047-1,2020-2701-5-10047,2020,2701,Khalifa Bin Salman Port,EX,5,10047,24646,9/15/2020,102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,CN,CN,NMB,18.0,1803.33,EXW,12204.94,4.35,32459.94,124.2,141.94,Released,3,3,2701,323,,,CR_HASH_142,,CR_HASH_023,2020-09-15,2020-09,102211000000,10,102211,True,Re-export,12204.94,32459.94,4.35,124.2,141.94,CN,CR_HASH_023,"Live cattle, pure-bred breeding"
2020-2701-5-10048-1,2020-2701-5-10048,2020,2701,Khalifa Bin Salman Port,IM,5,10048,56385,12/2/2020,3923301000,Plastic bottles for packaging,IN,IN,IN,IN,BH,BH,NMB,121.0,0.79,FOB,35.94,1.93,95.59,785.79,895.89,Held,1,8,2701,126,,,CR_HASH_074,CR_HASH_011,,2020-12-02,2020-12,392330100000,39,392330,False,Import,35.94,95.59,1.93,785.79,895.89,IN,CR_HASH_011,Plastic bottles for packaging
2020-2601-4-10049-1,2020-2601-4-10049,2020,2601,Dry Port - Hidd,EX,4,10049,63444,9/26/2020,8471300000,Portable laptop computers,BH,BH,BH,BH,SA,SA,NMB,140.0,621.37,CIF,32708.92,1.15,86991.8,403.01,476.96,Released,7,7,2601,154,,,CR_HASH_042,,CR_HASH_008,2020-09-26,2020-09,847130000000,84,847130,True,Re-export,32708.92,86991.8,1.15,403.01,476.96,SA,CR_HASH_008,Portable laptop computers
2020-2801-5-10050-1,2020-2801-5-10050,2020,2801,King Fahd Causeway,IM,5,10050,47353,3/4/2020,8517120000,Cellular telephones,DE,DE,DE,DE,BH,BH,NMB,198.0,104.41,FOB,7773.12,3.3,20673.18,287.46,340.52,Released,3,7,2801,145,,,CR_HASH_023,CR_HASH_044,,2020-03-04,2020-03,851712000000,85,851712,False,Import,7773.12,20673.18,3.3,287.46,340.52,DE,CR_HASH_044,Cellular telephones
2020-2701-2-10051-1,2020-2701-2-10051,2020,2701,Khalifa Bin Salman Port,IM,2,10051,64968,6/12/2020,102211000,"Live cattle, pure-bred breeding",AE,AE,AE,AE,BH,BH,NMB,69.0,2221.62,CIF,57637.71,2.28,153291.78,486.74,529.6,Released,7,7,2701,578,,,CR_HASH_166,CR_HASH_031,,2020-06-12,2020-06,102211000000,10,102211,False,Import,57637.71,153291.78,2.28,486.74,529.6,AE,CR_HASH_031,"Live cattle, pure-bred breeding"
2020-2801-6-10052-1,2020-2801-6-10052,2020,2801,King Fahd Causeway,IM,6,10052,94551,9/22/2020,102211000,"Live cattle, pure-bred breeding",AE,AE,AE,AE,BH,BH,NMB,151.0,2471.81,CIF,140339.48,4.5,373243.31,977.0,1102.09,Released,4,2,2801,713,,,CR_HASH_107,CR_HASH_020,,2020-09-22,2020-09,102211000000,10,102211,False,Import,140339.48,373243.31,4.5,977.0,1102.09,AE,CR_HASH_020,"Live cattle, pure-bred breeding"
2020-2501-4-10053-1,2020-2501-4-10053,2020,2501,Bahrain International Airport,EX,4,10053,76013,6/20/2020,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,JP,JP,NMB,53.0,0.24,FOB,4.78,2.21,12.72,110.83,124.18,Held,4,5,2501,179,,,CR_HASH_045,,CR_HASH_044,2020-06-20,2020-06,392330100000,39,392330,True,Re-export,4.78,12.72,2.21,110.83,124.18,JP,CR_HASH_044,Plastic bottles for packaging
2020-2701-7-10054-1,2020-2701-7-10054,2020,2701,Khalifa Bin Salman Port,IM,7,10054,76923,9/28/2020,8703221000,Passenger cars 1000-1500cc,JP,JP,DE,DE,BH,BH,NMB,156.0,16398.68,FOB,961880.97,4.91,2558194.08,194.84,210.56,Released,9,4,2701,823,,,CR_HASH_199,CR_HASH_022,,2020-09-28,2020-09,870322100000,87,870322,False,Import,961880.97,2558194.08,4.91,194.84,210.56,JP,CR_HASH_022,Passenger cars 1000-1500cc
2020-2801-8-10055-1,2020-2801-8-10055,2020,2801,King Fahd Causeway,IM,8,10055,16091,9/20/2020,6109100000,Cotton t-shirts,AE,AE,AE,AE,BH,BH,NMB,79.0,6.15,CIF,182.68,2.2,485.85,396.05,471.42,Released,4,7,2801,217,,,CR_HASH_126,CR_HASH_023,,2020-09-20,2020-09,610910000000,61,610910,False,Import,182.68,485.85,2.2,396.05,471.42,AE,CR_HASH_023,Cotton t-shirts
