item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr
2019-2501-6-10017-1,2019-2501-6-10017,2019,2501,Bahrain International Airport,IM,6,10017,51670,12/19/2019,8517120000,Cellular telephones,IN,IN,IN,IN,BH,BH,NMB,186.0,984.8,CIF,68872.97,2.89,183172.8,245.26,288.04,Released,6,9,2501,880,,,CR_HASH_063,CR_HASH_040,
2019-2701-3-10018-1,2019-2701-3-10018,2019,2701,Khalifa Bin Salman Port,EX,3,10018,34182,10/2/2019,1006301000,Long-grain milled rice,BH,BH,BH,BH,IN,IN,KGM,1933.5,0.87,CIF,632.48,3.86,1682.14,1933.5,2161.82,Held,8,9,2701,194,,,CR_HASH_133,,CR_HASH_013
2019-2501-5-10019-1,2019-2501-5-10019,2019,2501,Bahrain International Airport,IM,5,10019,58625,11/18/2019,8703221000,Passenger cars 1000-1500cc,IN,IN,CN,CN,BH,BH,NMB,72.0,21493.28,CIF,581866.08,0.75,1547516.16,189.75,203.61,Released,2,8,2501,147,,,CR_HASH_114,CR_HASH_006,
2019-2701-5-10020-1,2019-2701-5-10020,2019,2701,Khalifa Bin Salman Port,IM,5,10020,30526,6/6/2019,6109100000,Cotton t-shirts,JP,JP,AE,AE,BH,BH,NMB,160.0,6.13,CIF,368.78,3.07,980.8,132.17,142.38,Pending,4,3,2701,144,,,CR_HASH_222,CR_HASH_012,
2019-2601-9-10021-1,2019-2601-9-10021,2019,2601,Dry Port - Hidd,IM,9,10021,98160,1/3/2019,8703221000,Passenger cars 1000-1500cc,JP,JP,JP,JP,BH,BH,NMB,178.0,21669.17,CIF,1450274.21,4.01,3857112.26,1215.17,1440.46,Held,6,6,2601,654,,,CR_HASH_026,CR_HASH_012,
2019-2701-2-10022-1,2019-2701-2-10022,2019,2701,Khalifa Bin Salman Port,EX,2,10022,33981,10/12/2019,9018390000,Medical syringes and needles,BH,BH,BH,BH,TR,TR,NMB,107.0,0.28,CIF,11.26,2.65,29.96,362.53,415.44,Released,2,4,2701,643,,,CR_HASH_116,,CR_HASH_013
2019-2601-4-10023-1,2019-2601-4-10023,2019,2601,Dry Port - Hidd,IM,4,10023,79325,3/26/2019,8703221000,Passenger cars 1000-1500cc,SA,SA,SA,SA,BH,BH,NMB,73.0,11549.91,CIF,317021.93,2.91,843143.43,556.0,660.22,Pending,8,5,2601,686,,,CR_HASH_213,CR_HASH_024,
2019-2801-5-10024-1,2019-2801-5-10024,2019,2801,King Fahd Causeway,EX,5,10024,21889,3/15/2019,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,CN,CN,NMB,153.0,10763.11,EXW,619180.19,0.93,1646755.83,873.78,1030.28,Released,6,7,2801,622,,,CR_HASH_158,,CR_HASH_046
2019-2701-9-10025-1,2019-2701-9-10025,2019,2701,Khalifa Bin Salman Port,EX,9,10025,18109,1/31/2019,8504400090,Static converters,BH,BH,BH,BH,AE,AE,NMB,28.0,240.95,CIF,2536.72,3.16,6746.6,178.35,208.54,Released,1,5,2701,653,,,CR_HASH_232,,CR_HASH_047
2019-2501-2-10026-1,2019-2501-2-10026,2019,2501,Bahrain International Airport,IM,2,10026,86053,3/3/2019,8703221000,Passenger cars 1000-1500cc,SA,SA,IN,IN,BH,BH,NMB,2.0,14319.7,CIF,10768.41,1.03,28639.4,8.38,9.55,Released,1,5,2501,691,,,CR_HASH_035,CR_HASH_046,
2019-2601-9-10027-1,2019-2601-9-10027,2019,2601,Dry Port - Hidd,EX,9,10027,38299,9/24/2019,8504400090,Static converters,BH,BH,BH,BH,SA,SA,NMB,42.0,103.4,CIF,1632.89,1.17,4342.8,106.22,117.33,Released,1,9,2601,598,,,CR_HASH_168,,CR_HASH_027
2019-2701-4-10028-1,2019-2701-4-10028,2019,2701,Khalifa Bin Salman Port,EX,4,10028,10440,6/9/2019,8517120000,Cellular telephones,BH,BH,BH,BH,IN,IN,NMB,146.0,708.29,EXW,38882.29,4.78,103410.34,597.91,661.56,Released,2,3,2701,864,,,CR_HASH_163,,CR_HASH_049
2019-2701-2-10029-1,2019-2701-2-10029,2019,2701,Khalifa Bin Salman Port,IM,2,10029,11088,11/17/2019,8517120000,Cellular telephones,US,US,IN,IN,BH,BH,NMB,96.0,854.71,CIF,30851.61,4.63,82052.16,260.66,291.62,Released,8,5,2701,199,,,CR_HASH_079,CR_HASH_022,
