item_id,declaration_id,year,customs_office_code,customs_office_name,regime,registration_serial,registration_number,reference_number,registration_date,hs_code,commercial_description,country_of_origin,country_of_origin_code,country_of_export,country_of_export_code,country_of_destination,country_of_destination_code,uom,qty_by_uom,actual_unit_price,price_basis,local_amount,sup_amount,invoice_amount,net_weight,gross_weight,status,specification_code,warehouse_code,exit_office_code,exit_officer_id,operation_name,operation_date,encrypted_declarant_cr,encrypted_consignee_cr,encrypted_exporter_cr
2022-2801-1-10010-1,2022-2801-1-10010,2022,2801,King Fahd Causeway,IM,1,10010,76294,2/25/2022,8504400090,Static converters,US,US,DE,DE,BH,BH,NMB,169.0,226.56,EXW,14396.53,1.68,38288.64,923.16,1021.06,Released,9,9,2801,316,,,CR_HASH_221,CR_HASH_005,
2022-2501-1-10011-1,2022-2501-1-10011,2022,2501,Bahrain International Airport,IM,1,10011,97463,1/12/2022,9018390000,Medical syringes and needles,JP,JP,JP,JP,BH,BH,NMB,178.0,0.13,FOB,8.7,1.15,23.14,503.28,587.13,Released,9,1,2501,256,,,CR_HASH_039,CR_HASH_016,
2022-2601-2-10012-1,2022-2601-2-10012,2022,2601,Dry Port - Hidd,IM,2,10012,17594,3/25/2022,8471300000,Portable laptop computers,SA,SA,SA,SA,BH,BH,NMB,135.0,229.19,EXW,11633.68,1.09,30940.65,269.77,315.8,Released,2,6,2601,933,,,CR_HASH_007,CR_HASH_036,
2022-2601-9-10013-1,2022-2601-9-10013,2022,2601,Dry Port - Hidd,RE,9,10013,67057,1/30/2022,2710192100,Gas oils for diesel engines,CN,CN,BH,BH,DE,DE,LTR,10027.39,0.9,EXW,3393.27,1.13,9024.65,7570.4,8579.38,Released,7,4,2601,105,,,CR_HASH_231,CR_HASH_008,
2022-2501-6-10014-1,2022-2501-6-10014,2022,2501,Bahrain International Airport,IM,6,10014,51670,12/19/2022,8517120000,Cellular telephones,IN,IN,IN,IN,BH,BH,NMB,186.0,984.8,CIF,68872.97,2.89,183172.8,245.26,288.04,Released,6,9,2501,880,,,CR_HASH_063,CR_HASH_040,
2022-2701-3-10015-1,2022-2701-3-10015,2022,2701,Khalifa Bin Salman Port,EX,3,10015,34182,10/2/2022,1006301000,Long-grain milled rice,BH,BH,BH,BH,IN,IN,KGM,1933.5,0.87,CIF,632.48,3.86,1682.14,1933.5,2161.82,Held,8,9,2701,194,,,CR_HASH_133,,CR_HASH_013
2022-2501-5-10016-1,2022-2501-5-10016,2022,2501,Bahrain International Airport,IM,5,10016,51008,11/18/2022,8703221000,Passenger cars 1000-1500cc,CN,CN,US,US,BH,BH,NMB,72.0,21493.28,CIF,581866.08,0.6,1547516.16,125.39,137.01,Released,1,2,2501,257,,,CR_HASH_144,CR_HASH_008,
2022-2501-4-10017-1,2022-2501-4-10017,2022,2501,Bahrain International Airport,IM,4,10017,90019,10/31/2022,8703221000,Passenger cars 1000-1500cc,AE,AE,IN,IN,BH,BH,NMB,103.0,12872.61,CIF,498530.44,1.62,1325878.83,709.0,749.07,Released,6,9,2501,474,,,CR_HASH_123,CR_HASH_009,
2022-2501-1-10018-1,2022-2501-1-10018,2022,2501,Bahrain International Airport,EX,1,10018,82061,4/14/2022,2710192100,Gas oils for diesel engines,BH,BH,BH,BH,CN,CN,LTR,10713.18,0.39,EXW,1570.98,4.91,4178.14,10016.48,10666.22,Released,8,6,2501,800,,,CR_HASH_209,,CR_HASH_042
2022-2701-6-10019-1,2022-2701-6-10019,2022,2701,Khalifa Bin Salman Port,IM,6,10019,33981,8/18/2022,8504400090,Static converters,IN,IN,IN,IN,BH,BH,NMB,148.0,147.93,CIF,8232.01,2.65,21893.64,501.45,574.63,Released,2,4,2701,643,,,CR_HASH_034,CR_HASH_013,
2022-2601-4-10020-1,2022-2601-4-10020,2022,2601,Dry Port - Hidd,IM,4,10020,79325,3/26/2022,8703221000,Passenger cars 1000-1500cc,SA,SA,SA,SA,BH,BH,NMB,73.0,11549.91,CIF,317021.93,2.91,843143.43,556.0,660.22,Pending,8,5,2601,686,,,CR_HASH_213,CR_HASH_024,
2022-2801-5-10021-1,2022-2801-5-10021,2022,2801,King Fahd Causeway,EX,5,10021,21889,3/15/2022,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,CN,CN,NMB,153.0,10763.11,EXW,619180.19,0.93,1646755.83,873.78,1030.28,Released,6,7,2801,622,,,CR_HASH_158,,CR_HASH_046
2022-2701-9-10022-1,2022-2701-9-10022,2022,2701,Khalifa Bin Salman Port,EX,9,10022,18109,1/31/2022,8504400090,Static converters,BH,BH,BH,BH,AE,AE,NMB,28.0,240.95,CIF,2536.72,3.16,6746.6,178.35,208.54,Released,1,5,2701,653,,,CR_HASH_232,,CR_HASH_047
2022-2501-2-10023-1,2022-2501-2-10023,2022,2501,Bahrain International Airport,IM,2,10023,86053,3/3/2022,8703221000,Passenger cars 1000-1500cc,SA,SA,IN,IN,BH,BH,NMB,2.0,71598.5,CIF,53842.07,1.03,143197.0,8.38,9.55,Released,1,5,2501,691,,,CR_HASH_035,CR_HASH_046,
2022-2601-9-10024-1,2022-2601-9-10024,2022,2601,Dry Port - Hidd,IM,9,10024,24184,9/24/2022,8504400090,Static converters,IN,IN,SA,SA,BH,BH,NMB,42.0,103.4,EXW,1632.89,4.71,4342.8,135.72,148.91,Released,5,4,2601,763,,,CR_HASH_068,CR_HASH_016,
2022-2501-7-10025-1,2022-2501-7-10025,2022,2501,Bahrain International Airport,EX,7,10025,86169,5/20/2022,8517120000,Cellular telephones,BH,BH,BH,BH,US,US,NMB,111.0,1129.75,EXW,47151.25,1.03,125402.25,368.82,441.84,Released,8,8,2501,672,,,CR_HASH_002,,CR_HASH_036
2022-2501-5-10026-1,2022-2501-5-10026,2022,2501,Bahrain International Airport,IM,5,10026,37173,2/14/2022,8703221000,Passenger cars 1000-1500cc,IN,IN,IN,IN,BH,BH,NMB,7.0,26230.25,FOB,69038.02,4.02,183611.75,27.57,30.78,Pending,5,1,2501,451,,,CR_HASH_171,CR_HASH_001,
2022-2501-8-10027-1,2022-2501-8-10027,2022,2501,Bahrain International Airport,IM,8,10027,87709,12/30/2022,6109100000,Cotton t-shirts,DE,DE,DE,DE,BH,BH,NMB,57.0,12.88,CIF,276.04,1.58,734.16,306.43,325.91,Released,2,8,2501,798,,,CR_HASH_170,CR_HASH_044,
2022-2501-1-10028-1,2022-2501-1-10028,2022,2501,Bahrain International Airport,IM,1,10028,86445,10/23/2022,3923301000,Plastic bottles for packaging,CN,CN,CN,CN,BH,BH,NMB,58.0,0.13,CIF,2.84,4.1,7.54,377.64,410.04,Released,9,9,2501,208,,,CR_HASH_164,CR_HASH_015,
2022-2801-7-10029-1,2022-2801-7-10029,2022,2801,King Fahd Causeway,IM,7,10029,50389,10/9/2022,9018390000,Medical syringes and needles,CN,CN,CN,CN,BH,BH,NMB,167.0,0.07,CIF,4.4,3.81,11.69,1016.85,1163.79,Released,2,1,2801,343,,,CR_HASH_022,CR_HASH_042,
2022-2701-5-10030-1,2022-2701-5-10030,2022,2701,Khalifa Bin Salman Port,IM,5,10030,79322,2/6/2022,3923301000,Plastic bottles for packaging,CN,CN,IN,IN,BH,BH,NMB,150.0,0.14,CIF,7.9,4.91,21.0,873.28,939.62,Released,5,5,2701,804,,,CR_HASH_093,CR_HASH_005,
2022-2701-8-10031-1,2022-2701-8-10031,2022,2701,Khalifa Bin Salman Port,IM,8,10031,23359,4/3/2022,8703221000,Passenger cars 1000-1500cc,AE,AE,AE,AE,BH,BH,NMB,89.0,23920.49,FOB,800475.28,2.32,2128923.61,477.86,569.17,Released,9,5,2701,216,,,CR_HASH_037,CR_HASH_008,
2022-2801-2-10032-1,2022-2801-2-10032,2022,2801,King Fahd Causeway,IM,2,10032,95421,2/13/2022,3923301000,Plastic bottles for packaging,AE,AE,AE,AE,BH,BH,NMB,56.0,0.31,FOB,6.53,1.93,17.36,200.96,223.33,Pending,1,3,2801,476,,,CR_HASH_210,CR_HASH_011,
2022-2601-2-10033-1,2022-2601-2-10033,2022,2601,Dry Port - Hidd,EX,2,10033,80868,6/24/2022,0102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,AE,AE,NMB,19.0,1761.81,FOB,12586.37,2.44,33474.39,102.47,112.45,Released,5,6,2601,573,,,CR_HASH_143,,CR_HASH_013
2022-2801-5-10034-1,2022-2801-5-10034,2022,2801,King Fahd Causeway,EX,5,10034,56735,5/12/2022,9018390000,Medical syringes and needles,BH,BH,BH,BH,AE,AE,NMB,147.0,0.45,EXW,24.87,2.72,66.15,647.1,757.09,Released,2,1,2801,164,,,CR_HASH_062,,CR_HASH_016
2022-2801-8-10035-1,2022-2801-8-10035,2022,2801,King Fahd Causeway,IM,8,10035,87088,11/14/2022,8471300000,Portable laptop computers,US,US,US,US,BH,BH,NMB,16.0,367.18,FOB,2208.95,1.19,5874.88,9.76,11.46,Released,3,6,2801,700,,,CR_HASH_070,CR_HASH_035,
2022-2701-4-10036-1,2022-2701-4-10036,2022,2701,Khalifa Bin Salman Port,EX,4,10036,93307,2/13/2022,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,US,US,NMB,191.0,124546.45,FOB,8944427.85,0.55,23788371.95,1080.58,1248.95,Released,2,7,2701,572,,,CR_HASH_188,,CR_HASH_020
2022-2501-7-10037-1,2022-2501-7-10037,2022,2501,Bahrain International Airport,IM,7,10037,39573,6/20/2022,8517120000,Cellular telephones,IN,IN,JP,JP,BH,BH,NMB,84.0,1188.05,CIF,37523.37,3.9,99796.2,131.21,146.59,Released,4,5,2501,521,,,CR_HASH_210,CR_HASH_020,
2022-2501-3-10038-1,2022-2501-3-10038,2022,2501,Bahrain International Airport,IM,3,10038,17570,12/2/2022,8517120000,Cellular telephones,CN,CN,CN,CN,BH,BH,NMB,49.0,149.11,CIF,2747.2,4.3,7306.39,240.02,269.78,Released,8,6,2501,599,,,CR_HASH_226,CR_HASH_001,
2022-2601-7-10039-1,2022-2601-7-10039,2022,2601,Dry Port - Hidd,IM,7,10039,72023,8/25/2022,8504400090,Static converters,AE,AE,AE,AE,BH,BH,NMB,152.0,42.78,EXW,2444.96,2.77,6502.56,1038.71,1165.83,Released,9,3,2601,627,,,CR_HASH_133,CR_HASH_038,
2022-2801-4-10040-1,2022-2801-4-10040,2022,2801,King Fahd Causeway,IM,4,10040,27244,2/13/2022,2710192100,Gas oils for diesel engines,US,US,IN,IN,BH,BH,LTR,10226.93,0.78,CIF,2999.36,4.67,7977.01,8033.27,8843.25,Released,7,5,2801,477,,,CR_HASH_158,CR_HASH_016,
2022-2501-6-10041-1,2022-2501-6-10041,2022,2501,Bahrain International Airport,EX,6,10041,98628,4/23/2022,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,AE,AE,NMB,2.0,10560.44,EXW,7941.45,4.56,21120.88,15.73,17.98,Released,7,3,2501,965,,,CR_HASH_219,,CR_HASH_024
2022-2801-5-10042-1,2022-2801-5-10042,2022,2801,King Fahd Causeway,IM,5,10042,35940,8/16/2022,9018390000,Medical syringes and needles,AE,AE,AE,AE,BH,BH,NMB,15.0,0.38,EXW,2.14,3.87,5.7,116.6,139.65,Released,6,4,2801,104,,,CR_HASH_029,CR_HASH_008,
2022-2601-1-10043-1,2022-2601-1-10043,2022,2601,Dry Port - Hidd,RE,1,10043,17633,2/15/2022,8703221000,Passenger cars 1000-1500cc,US,US,BH,BH,AE,AE,NMB,155.0,14793.99,CIF,862193.74,4.11,2293068.45,555.96,649.95,Released,3,9,2601,499,,,CR_HASH_244,CR_HASH_032,
2022-2501-1-10044-1,2022-2501-1-10044,2022,2501,Bahrain International Airport,IM,1,10044,45408,10/28/2022,8471300000,Portable laptop computers,SA,SA,SA,SA,BH,BH,NMB,75.0,181.65,EXW,5122.53,0.72,13623.75,472.72,557.72,Pending,3,1,2501,659,,,CR_HASH_185,CR_HASH_037,
2022-2801-4-10045-1,2022-2801-4-10045,2022,2801,King Fahd Causeway,IM,4,10045,57176,3/27/2022,8471300000,Portable laptop computers,US,US,SA,SA,BH,BH,NMB,190.0,590.24,FOB,42166.75,4.34,112145.6,1052.05,1142.16,Pending,3,7,2801,630,,,CR_HASH_104,CR_HASH_042,
2022-2601-2-10046-1,2022-2601-2-10046,2022,2601,Dry Port - Hidd,IM,2,10046,36672,6/13/2022,0102211000,"Live cattle, pure-bred breeding",US,US,US,US,BH,BH,NMB,110.0,1118.91,EXW,46278.12,1.12,123080.1,721.13,865.22,Released,2,6,2601,267,,,CR_HASH_221,CR_HASH_032,
2022-2801-7-10047-1,2022-2801-7-10047,2022,2801,King Fahd Causeway,EX,7,10047,41577,12/31/2022,8504400090,Static converters,BH,BH,BH,BH,US,US,NMB,119.0,116.32,CIF,5204.62,0.58,13842.08,179.42,198.22,Released,5,9,2801,670,,,CR_HASH_021,,CR_HASH_004
2022-2601-5-10048-1,2022-2601-5-10048,2022,2601,Dry Port - Hidd,IM,5,10048,91814,11/18/2022,1006301000,Long-grain milled rice,CN,CN,AE,AE,BH,BH,KGM,4800.13,1.23,CIF,2219.96,3.84,5904.16,4800.13,5274.39,Released,2,6,2601,657,,,CR_HASH_059,CR_HASH_044,
2022-2501-3-10049-1,2022-2501-3-10049,2022,2501,Bahrain International Airport,IM,3,10049,67141,8/27/2022,9018390000,Medical syringes and needles,JP,JP,JP,JP,BH,BH,NMB,49.0,0.2,FOB,3.68,2.64,9.8,230.85,269.82,Pending,9,6,2501,706,,,CR_HASH_146,CR_HASH_039,
2022-2801-7-10050-1,2022-2801-7-10050,2022,2801,King Fahd Causeway,IM,7,10050,48967,4/4/2022,3923301000,Plastic bottles for packaging,CN,CN,CN,CN,BH,BH,NMB,54.0,0.23,CIF,4.67,4.82,12.42,413.92,466.45,Released,7,1,2801,363,,,CR_HASH_197,CR_HASH_046,
2022-2501-3-10051-1,2022-2501-3-10051,2022,2501,Bahrain International Airport,IM,3,10051,90800,1/15/2022,8703221000,Passenger cars 1000-1500cc,US,US,US,US,BH,BH,NMB,14.0,14102.36,EXW,74234.82,1.43,197433.04,18.72,20.74,Pending,3,5,2501,454,,,CR_HASH_194,CR_HASH_003,
2022-2601-2-10052-1,2022-2601-2-10052,2022,2601,Dry Port - Hidd,IM,2,10052,80251,3/26/2022,8471300000,Portable laptop computers,AE,AE,AE,AE,BH,BH,NMB,58.0,710.8,FOB,15501.13,1.67,41226.4,173.9,193.85,Held,3,3,2601,637,,,CR_HASH_028,CR_HASH_028,
2022-2801-5-10053-1,2022-2801-5-10053,2022,2801,King Fahd Causeway,IM,5,10053,64322,3/30/2022,9018390000,Medical syringes and needles,JP,JP,JP,JP,BH,BH,NMB,136.0,0.75,CIF,38.35,1.12,102.0,537.98,622.3,Released,9,1,2801,108,,,CR_HASH_048,CR_HASH_008,
2022-2501-8-10054-1,2022-2501-8-10054,2022,2501,Bahrain International Airport,IM,8,10054,86802,12/7/2022,8471300000,Portable laptop computers,AE,AE,AE,AE,BH,BH,NMB,31.0,553.1,FOB,6446.93,1.23,17146.1,212.99,223.79,Released,9,7,2501,994,,,CR_HASH_028,CR_HASH_014,
2022-2601-3-10055-1,2022-2601-3-10055,2022,2601,Dry Port - Hidd,IM,3,10055,20166,11/9/2022,0102211000,"Live cattle, pure-bred breeding",DE,DE,DE,DE,BH,BH,NMB,183.0,1572.58,FOB,108206.08,1.47,287782.14,1207.56,1325.61,Released,4,6,2601,385,,,CR_HASH_137,CR_HASH_040,
2022-2501-8-10056-1,2022-2501-8-10056,2022,2501,Bahrain International Airport,IM,8,10056,63444,10/28/2022,8471300000,Portable laptop computers,AE,AE,US,US,BH,BH,NMB,147.0,162.37,CIF,8974.51,1.15,23868.39,423.16,500.81,Released,7,7,2501,154,,,CR_HASH_184,CR_HASH_008,
2022-2801-5-10057-1,2022-2801-5-10057,2022,2801,King Fahd Causeway,IM,5,10057,47353,3/5/2022,8517120000,Cellular telephones,DE,DE,DE,DE,BH,BH,NMB,198.0,104.41,FOB,7773.12,3.3,20673.18,287.46,340.52,Released,3,7,2801,145,,,CR_HASH_023,CR_HASH_044,
2022-2701-2-10058-1,2022-2701-2-10058,2022,2701,Khalifa Bin Salman Port,IM,2,10058,64968,6/13/2022,0102211000,"Live cattle, pure-bred breeding",AE,AE,AE,AE,BH,BH,NMB,69.0,2221.62,CIF,57637.71,2.28,153291.78,486.74,529.6,Released,7,7,2701,578,,,CR_HASH_166,CR_HASH_031,
2022-2801-6-10059-1,2022-2801-6-10059,2022,2801,King Fahd Causeway,IM,6,10059,94551,9/22/2022,0102211000,"Live cattle, pure-bred breeding",AE,AE,AE,AE,BH,BH,NMB,151.0,2471.81,CIF,140339.48,4.5,373243.31,977.0,1102.09,Released,4,2,2801,713,,,CR_HASH_107,CR_HASH_020,
2022-2501-4-10060-1,2022-2501-4-10060,2022,2501,Bahrain International Airport,EX,4,10060,76013,6/21/2022,3923301000,Plastic bottles for packaging,BH,BH,BH,BH,JP,JP,NMB,53.0,0.24,FOB,4.78,2.21,12.72,110.83,124.18,Held,4,5,2501,179,,,CR_HASH_045,,CR_HASH_044
2022-2701-7-10061-1,2022-2701-7-10061,2022,2701,Khalifa Bin Salman Port,IM,7,10061,76923,9/28/2022,8703221000,Passenger cars 1000-1500cc,JP,JP,DE,DE,BH,BH,NMB,156.0,16398.68,FOB,961880.97,4.91,2558194.08,194.84,210.56,Released,9,4,2701,823,,,CR_HASH_199,CR_HASH_022,
2022-2801-8-10062-1,2022-2801-8-10062,2022,2801,King Fahd Causeway,IM,8,10062,16091,9/20/2022,6109100000,Cotton t-shirts,AE,AE,AE,AE,BH,BH,NMB,79.0,6.15,CIF,182.68,2.2,485.85,396.05,471.42,Released,4,7,2801,217,,,CR_HASH_126,CR_HASH_023,
2022-2501-3-10063-1,2022-2501-3-10063,2022,2501,Bahrain International Airport,IM,3,10063,97807,5/2/2022,6109100000,Cotton t-shirts,CN,CN,AE,AE,BH,BH,NMB,10.0,14.41,CIF,54.18,2.85,144.1,71.08,77.6,Released,5,5,2501,333,,,CR_HASH_120,CR_HASH_010,
2022-2501-1-10064-1,2022-2501-1-10064,2022,2501,Bahrain International Airport,IM,1,10064,37146,2/16/2022,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,4800.73,1.12,EXW,2021.68,4.56,5376.82,4800.73,5253.04,Released,9,6,2501,983,,,CR_HASH_078,CR_HASH_038,
2022-2801-6-10065-1,2022-2801-6-10065,2022,2801,King Fahd Causeway,IM,6,10065,17363,5/10/2022,8471300000,Portable laptop computers,CN,CN,CN,CN,BH,BH,NMB,82.0,347.9,CIF,10726.45,1.22,28527.8,420.31,475.52,Released,8,4,2801,625,,,CR_HASH_130,CR_HASH_009,
2022-2701-7-10066-1,2022-2701-7-10066,2022,2701,Khalifa Bin Salman Port,EX,7,10066,20858,7/11/2022,0102211000,"Live cattle, pure-bred breeding",BH,BH,BH,BH,IN,IN,NMB,169.0,1488.25,CIF,94569.36,0.95,251514.25,346.64,412.93,Held,4,3,2701,259,,,CR_HASH_093,,CR_HASH_021
2022-2701-2-10067-1,2022-2701-2-10067,2022,2701,Khalifa Bin Salman Port,IM,2,10067,32356,11/5/2022,6109100000,Cotton t-shirts,SA,SA,IN,IN,BH,BH,NMB,83.0,7.85,CIF,244.98,1.23,651.55,252.73,285.49,Released,1,9,2701,166,,,CR_HASH_218,CR_HASH_036,
2022-2501-7-10068-1,2022-2501-7-10068,2022,2501,Bahrain International Airport,IM,7,10068,53382,11/21/2022,2710192100,Gas oils for diesel engines,US,US,US,US,BH,BH,LTR,10066.85,0.78,EXW,2952.4,1.24,7852.14,7803.15,9307.89,Pending,4,5,2501,962,,,CR_HASH_129,CR_HASH_005,
2022-2501-3-10069-1,2022-2501-3-10069,2022,2501,Bahrain International Airport,EX,3,10069,57576,3/17/2022,9018390000,Medical syringes and needles,BH,BH,BH,BH,US,US,NMB,6.0,0.1,FOB,0.23,1.34,0.6,30.37,34.01,Held,9,2,2501,835,,,CR_HASH_242,,CR_HASH_020
2022-2701-4-10070-1,2022-2701-4-10070,2022,2701,Khalifa Bin Salman Port,IM,4,10070,14868,10/26/2022,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,849.1,1.41,EXW,450.16,4.07,1197.23,849.1,992.74,Held,2,2,2701,930,,,CR_HASH_164,CR_HASH_031,
2022-2601-3-10071-1,2022-2601-3-10071,2022,2601,Dry Port - Hidd,IM,3,10071,66904,7/13/2022,6109100000,Cotton t-shirts,CN,CN,CN,CN,BH,BH,NMB,151.0,14.91,FOB,846.53,4.65,2251.41,221.63,237.78,Released,6,3,2601,472,,,CR_HASH_001,CR_HASH_039,
2022-2701-5-10072-1,2022-2701-5-10072,2022,2701,Khalifa Bin Salman Port,RE,5,10072,62528,9/23/2022,2710192100,Gas oils for diesel engines,US,US,BH,BH,IN,IN,LTR,12194.06,0.73,CIF,3347.02,2.52,8901.66,9577.79,11030.88,Released,9,7,2701,773,,,CR_HASH_246,CR_HASH_042,
2022-2801-5-10073-1,2022-2801-5-10073,2022,2801,King Fahd Causeway,EX,5,10073,60563,4/12/2022,8703221000,Passenger cars 1000-1500cc,BH,BH,BH,BH,US,US,NMB,150.0,11049.61,CIF,623198.0,2.79,1657441.5,905.82,1005.89,Released,7,9,2801,397,,,CR_HASH_165,,CR_HASH_044
2022-2501-6-10074-1,2022-2501-6-10074,2022,2501,Bahrain International Airport,IM,6,10074,69661,6/3/2022,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,2099.97,0.88,CIF,694.84,1.97,1847.97,2099.97,2411.45,Released,8,2,2501,246,,,CR_HASH_086,CR_HASH_036,
2022-2801-8-10075-1,2022-2801-8-10075,2022,2801,King Fahd Causeway,IM,8,10075,76738,10/12/2022,8504400090,Static converters,CN,CN,CN,CN,BH,BH,NMB,50.0,176.93,CIF,3326.28,2.94,8846.5,131.32,151.18,Released,7,7,2801,956,,,CR_HASH_228,CR_HASH_045,
2022-2701-7-10076-1,2022-2701-7-10076,2022,2701,Khalifa Bin Salman Port,RE,7,10076,73071,8/1/2022,0102211000,"Live cattle, pure-bred breeding",US,US,BH,BH,IN,IN,NMB,62.0,1344.83,EXW,31350.68,3.25,83379.46,349.72,368.42,Released,4,2,2701,941,,,CR_HASH_135,CR_HASH_020,
2022-2801-3-10077-1,2022-2801-3-10077,2022,2801,King Fahd Causeway,IM,3,10077,94246,11/6/2022,2710192100,Gas oils for diesel engines,US,US,US,US,BH,BH,LTR,11118.69,0.74,EXW,3093.66,3.85,8227.83,10368.56,12323.88,Pending,7,3,2801,785,,,CR_HASH_079,CR_HASH_042,
2022-2601-6-10078-1,2022-2601-6-10078,2022,2601,Dry Port - Hidd,IM,6,10078,69168,2/8/2022,1006301000,Long-grain milled rice,CN,CN,CN,CN,BH,BH,KGM,1277.11,1.11,EXW,533.01,4.37,1417.59,1277.11,1419.5,Released,2,4,2601,106,,,CR_HASH_072,CR_HASH_011,
2022-2601-5-10079-1,2022-2601-5-10079,2022,2601,Dry Port - Hidd,EX,5,10079,27332,1/15/2022,8504400090,Static converters,BH,BH,BH,BH,CN,CN,NMB,27.0,60.43,EXW,613.49,2.4,1631.61,92.49,110.97,Released,4,6,2601,889,,,CR_HASH_209,,CR_HASH_015
2022-2601-9-10080-1,2022-2601-9-10080,2022,2601,Dry Port - Hidd,EX,9,10080,73978,12/7/2022,6109100000,Cotton t-shirts,BH,BH,BH,BH,CN,CN,NMB,14.0,3.79,EXW,19.95,1.29,53.06,99.91,114.85,Released,4,5,2601,596,,,CR_HASH_113,,CR_HASH_006
2022-2701-3-10081-1,2022-2701-3-10081,2022,2701,Khalifa Bin Salman Port,RE,3,10081,38841,3/30/2022,6109100000,Cotton t-shirts,AE,AE,BH,BH,IN,IN,NMB,159.0,14.9,CIF,890.78,2.58,2369.1,193.02,223.74,Released,4,2,2701,146,,,CR_HASH_030,CR_HASH_048,
